Freq.	V(aggr_in)	V(aggr_mid)	V(aggr_mid2)	V(aggr_out)	V(shield_a)	V(shield_b)	V(v_abs)	V(vic_in)	V(vic_mid)	V(vic_noise)	V(vic_out)	V(vnoise_out)	I(B_VNOISE_ABS)	I(CAGG1)	I(CCOUP1)	I(CCOUP2)	I(CVIC)	I(EMUT)	I(EVNOISE)	I(RAGG1)	I(RAGG2)	I(RMUT_SRC)	I(ROUT)	I(RSHIELD)	I(RTERM_AGG)	I(RTERM_VIC)	I(RVIC1)	I(RVIC2)	I(RVIC_NOISE)	I(VAGG)	I(VIC_SRC)	I(VSHIELD_REF)
1.00000000000000e+06	(0.00000000000000e+00dB,0.00000000000000e+00°)	(-2.49877534289363e+00dB,-2.14859349869607e-02°)	(-2.49877534289363e+00dB,-2.14859349869607e-02°)	(-6.02060052400726e+00dB,-2.14859349869607e-02°)	(-infdB,0.00000000000000e+00°)	(-1.84120842695845e+02dB,8.99785140174765e+01°)	(-infdB,0.00000000000000e+00°)	(-infdB,0.00000000000000e+00°)	(-2.12219707658113e+02dB,-4.29714665919358e-02°)	(-1.17679569629779e+02dB,-2.14859349869607e-02°)	(-2.15741532839227e+02dB,-4.29714665919358e-02°)	(-2.12219707658113e+02dB,-4.29714665919358e-02°)	(-infdB,0.00000000000000e+00°)	(-9.64781680929538e+01dB,8.99785140650130e+01°)	(-2.48663369970638e+02dB,8.99785140174774e+01°)	(-5.24257986431909e+02dB,-1.77767512366907e+02°)	(-3.06199100408174e+02dB,8.99570285334081e+01°)	(-2.37679732488660e+02dB,1.79978514467867e+02°)	(-2.46199107744834e+02dB,1.79957028533408e+02°)	(-3.99999908390958e+01dB,6.44577445316688e-02°)	(-4.00000006107276e+01dB,-2.14859349869607e-02°)	(-infdB,0.00000000000000e+00°)	(-2.46199107744834e+02dB,-4.29714665919358e-02°)	(-2.48663369970638e+02dB,-9.00214859825235e+01°)	(-4.00000006107276e+01dB,-2.14859349869607e-02°)	(-2.49720932925947e+02dB,-4.29714665919358e-02°)	(-2.40178507831554e+02dB,1.79957028533408e+02°)	(-2.49720932925947e+02dB,-4.29714665919358e-02°)	(-2.37679732488660e+02dB,-2.14855321332809e-02°)	(-3.99999908390958e+01dB,-1.79935542255468e+02°)	(-2.40178507831554e+02dB,-4.29714665919358e-02°)	(-2.48663369970638e+02dB,8.99785140174765e+01°)
1.12201845430196e+06	(0.00000000000000e+00dB,0.00000000000000e+00°)	(-2.49877550102652e+00dB,-2.41076152707045e-02°)	(-2.49877550102652e+00dB,-2.41076152707045e-02°)	(-6.02060068214015e+00dB,-2.41076152707045e-02°)	(-infdB,0.00000000000000e+00°)	(-1.83120842853978e+02dB,8.99758923313924e+01°)	(-infdB,0.00000000000000e+00°)	(-5.29812792368607e+02dB,1.80000000000000e+02°)	(-2.12219707974373e+02dB,-4.82147779393933e-02°)	(-1.17679569787912e+02dB,-2.41076152707045e-02°)	(-2.15741533155487e+02dB,-4.82147779393933e-02°)	(-2.12219707974373e+02dB,-4.82147779393933e-02°)	(-infdB,0.00000000000000e+00°)	(-9.54781682510867e+01dB,8.99758923847293e+01°)	(-2.47663370128771e+02dB,8.99758923313935e+01°)	(-5.22259368426177e+02dB,-1.78015038532591e+02°)	(-3.05199100724433e+02dB,8.99517852220606e+01°)	(-2.37679732646787e+02dB,1.79975892836739e+02°)	(-2.46199108061094e+02dB,1.79951785222061e+02°)	(-3.99999884671085e+01dB,7.23227604536125e-02°)	(-4.00000007688605e+01dB,-2.41076152707045e-02°)	(-infdB,0.00000000000000e+00°)	(-2.46199108061094e+02dB,-4.82147779393933e-02°)	(-2.47663370128771e+02dB,-9.00241076686076e+01°)	(-4.00000007688605e+01dB,-2.41076152707045e-02°)	(-2.49720933242207e+02dB,-4.82147779393933e-02°)	(-2.40178508147814e+02dB,1.79951785222061e+02°)	(-2.49720933242207e+02dB,-4.82147779393933e-02°)	(-2.37679732646787e+02dB,-2.41071632614578e-02°)	(-3.99999884671085e+01dB,-1.79927677239546e+02°)	(-2.40178508147814e+02dB,-4.82147779393933e-02°)	(-2.47663370128771e+02dB,8.99758923313924e+01°)
1.25892541179417e+06	(0.00000000000000e+00dB,0.00000000000000e+00°)	(-2.49877570010403e+00dB,-2.70491888096370e-02°)	(-2.49877570010403e+00dB,-2.70491888096370e-02°)	(-6.02060088121765e+00dB,-2.70491888096370e-02°)	(-infdB,0.00000000000000e+00°)	(-1.82120843053055e+02dB,8.99729507513454e+01°)	(-infdB,0.00000000000000e+00°)	(-infdB,0.00000000000000e+00°)	(-2.12219708372521e+02dB,-5.40978697914834e-02°)	(-1.17679569986990e+02dB,-2.70491888096370e-02°)	(-2.15741533553634e+02dB,-5.40978697914834e-02°)	(-2.12219708372521e+02dB,-5.40978697914834e-02°)	(-infdB,0.00000000000000e+00°)	(-9.44781684501642e+01dB,8.99729508111904e+01°)	(-2.46663370327848e+02dB,8.99729507513466e+01°)	(-5.20260466570129e+02dB,-1.78236313656664e+02°)	(-3.04199101122581e+02dB,8.99459021302085e+01°)	(-2.37679732845857e+02dB,1.79972951318353e+02°)	(-2.46199108459241e+02dB,1.79945902130209e+02°)	(-3.99999854809554e+01dB,8.11474458568801e-02°)	(-4.00000009679380e+01dB,-2.70491888096370e-02°)	(-infdB,0.00000000000000e+00°)	(-2.46199108459241e+02dB,-5.40978697914834e-02°)	(-2.46663370327848e+02dB,-9.00270492486546e+01°)	(-4.00000009679380e+01dB,-2.70491888096370e-02°)	(-2.49720933640355e+02dB,-5.40978697914834e-02°)	(-2.40178508545962e+02dB,1.79945902130209e+02°)	(-2.49720933640355e+02dB,-5.40978697914834e-02°)	(-2.37679732845857e+02dB,-2.70486816469440e-02°)	(-3.99999854809554e+01dB,-1.79918852554143e+02°)	(-2.40178508545962e+02dB,-5.40978697914834e-02°)	(-2.46663370327848e+02dB,8.99729507513454e+01°)
1.41253754462275e+06	(0.00000000000000e+00dB,0.00000000000000e+00°)	(-2.49877595072775e+00dB,-3.03496884345018e-02°)	(-2.49877595072775e+00dB,-3.03496884345018e-02°)	(-6.02060113184137e+00dB,-3.03496884345018e-02°)	(-infdB,0.00000000000000e+00°)	(-1.81120843303679e+02dB,8.99696502444183e+01°)	(-infdB,0.00000000000000e+00°)	(-5.90018791501403e+02dB,9.00000000000000e+01°)	(-2.12219708873759e+02dB,-6.06988070768838e-02°)	(-1.17679570237614e+02dB,-3.03496884345018e-02°)	(-2.15741534054872e+02dB,-6.06988070768838e-02°)	(-2.12219708873759e+02dB,-6.06988070768838e-02°)	(-infdB,0.00000000000000e+00°)	(-9.34781687007879e+01dB,8.99696503115655e+01°)	(-2.45663370578472e+02dB,8.99696502444196e+01°)	(-5.18261339147224e+02dB,-1.78434248197823e+02°)	(-3.03199101623819e+02dB,8.99393011929231e+01°)	(-2.37679733096472e+02dB,1.79969650880611e+02°)	(-2.46199108960479e+02dB,1.79939301192923e+02°)	(-3.99999817216148e+01dB,9.10488949910851e-02°)	(-4.00000012185617e+01dB,-3.03496884345018e-02°)	(-infdB,0.00000000000000e+00°)	(-2.46199108960479e+02dB,-6.06988070768838e-02°)	(-2.45663370578472e+02dB,-9.00303497555817e+01°)	(-4.00000012185617e+01dB,-3.03496884345018e-02°)	(-2.49720934141593e+02dB,-6.06988070768837e-02°)	(-2.40178509047200e+02dB,1.79939301192923e+02°)	(-2.49720934141593e+02dB,-6.06988070768838e-02°)	(-2.37679733096472e+02dB,-3.03491193886337e-02°)	(-3.99999817216148e+01dB,-1.79908951105009e+02°)	(-2.40178509047200e+02dB,-6.06988070768838e-02°)	(-2.45663370578472e+02dB,8.99696502444183e+01°)
1.58489319246111e+06	(0.00000000000000e+00dB,3.10601043111672e-18°)	(-2.49877626624429e+00dB,-3.40529096811737e-02°)	(-2.49877626624429e+00dB,-3.40529096811737e-02°)	(-6.02060144735792e+00dB,-3.40529096811737e-02°)	(-infdB,0.00000000000000e+00°)	(-1.80120843619195e+02dB,8.99659470149784e+01°)	(-infdB,0.00000000000000e+00°)	(-infdB,0.00000000000000e+00°)	(-2.12219709504780e+02dB,-6.81051800451202e-02°)	(-1.17679570553130e+02dB,-3.40529096811737e-02°)	(-2.15741534685894e+02dB,-6.81051800451202e-02°)	(-2.12219709504780e+02dB,-6.81051800451202e-02°)	(-infdB,0.00000000000000e+00°)	(-9.24781690163044e+01dB,8.99659470903188e+01°)	(-2.44663370893989e+02dB,8.99659470149799e+01°)	(-5.16262032501177e+02dB,-1.78611450400618e+02°)	(-3.02199102254840e+02dB,8.99318948199549e+01°)	(-2.37679733411977e+02dB,1.79965947728799e+02°)	(-2.46199109591500e+02dB,1.79931894819955e+02°)	(-3.99999769888906e+01dB,1.02158488471011e-01°)	(-4.00000015340783e+01dB,-3.40529096811737e-02°)	(-infdB,0.00000000000000e+00°)	(-2.46199109591500e+02dB,-6.81051800451202e-02°)	(-2.44663370893989e+02dB,-9.00340529850216e+01°)	(-4.00000015340783e+01dB,-3.40529096811737e-02°)	(-2.49720934772614e+02dB,-6.81051800451202e-02°)	(-2.40178509678221e+02dB,1.79931894819955e+02°)	(-2.49720934772614e+02dB,-6.81051800451202e-02°)	(-2.37679733411977e+02dB,-3.40522712012547e-02°)	(-3.99999769888906e+01dB,-1.79897841511529e+02°)	(-2.40178509678221e+02dB,-6.81051800451202e-02°)	(-2.44663370893989e+02dB,8.99659470149784e+01°)
1.77827941003892e+06	(0.00000000000000e+00dB,0.00000000000000e+00°)	(-2.49877666345606e+00dB,-3.82079919201028e-02°)	(-2.49877666345606e+00dB,-3.82079919201028e-02°)	(-6.02060184456968e+00dB,-3.82079919201028e-02°)	(-infdB,0.00000000000000e+00°)	(-1.79120844016407e+02dB,8.99617919235466e+01°)	(-infdB,0.00000000000000e+00°)	(-5.29812792368607e+02dB,1.80000000000000e+02°)	(-2.12219710299189e+02dB,-7.64152665145441e-02°)	(-1.17679570950342e+02dB,-3.82079919201028e-02°)	(-2.15741535480302e+02dB,-7.64152665145442e-02°)	(-2.12219710299189e+02dB,-7.64152665145441e-02°)	(-infdB,0.00000000000000e+00°)	(-9.14781694135162e+01dB,8.99617920080799e+01°)	(-2.43663371291200e+02dB,8.99617919235483e+01°)	(-5.14262583477216e+02dB,-1.78770258720030e+02°)	(-3.01199103049249e+02dB,8.99235847334855e+01°)	(-2.37679733809173e+02dB,1.79961792724466e+02°)	(-2.46199110385909e+02dB,1.79923584733485e+02°)	(-3.99999710307522e+01dB,1.14623635942923e-01°)	(-4.00000019312901e+01dB,-3.82079919201028e-02°)	(-infdB,0.00000000000000e+00°)	(-2.46199110385909e+02dB,-7.64152665145441e-02°)	(-2.43663371291200e+02dB,-9.00382080764534e+01°)	(-4.00000019312901e+01dB,-3.82079919201028e-02°)	(-2.49720935567023e+02dB,-7.64152665145442e-02°)	(-2.40178510472629e+02dB,1.79923584733485e+02°)	(-2.49720935567023e+02dB,-7.64152665145441e-02°)	(-2.37679733809173e+02dB,-3.82072755339165e-02°)	(-3.99999710307522e+01dB,-1.79885376364057e+02°)	(-2.40178510472629e+02dB,-7.64152665145441e-02°)	(-2.43663371291200e+02dB,8.99617919235466e+01°)
1.99526231496888e+06	(0.00000000000000e+00dB,0.00000000000000e+00°)	(-2.49877716351599e+00dB,-4.28700703907785e-02°)	(-2.49877716351599e+00dB,-4.28700703907785e-02°)	(-6.02060234462961e+00dB,-4.28700703907785e-02°)	(-infdB,0.00000000000000e+00°)	(-1.78120844516467e+02dB,8.99571298347613e+01°)	(-infdB,0.00000000000000e+00°)	(-infdB,0.00000000000000e+00°)	(-2.12219711299290e+02dB,-8.57393359290199e-02°)	(-1.17679571450402e+02dB,-4.28700703907785e-02°)	(-2.15741536480403e+02dB,-8.57393359290199e-02°)	(-2.12219711299290e+02dB,-8.57393359290199e-02°)	(-infdB,0.00000000000000e+00°)	(-9.04781699135762e+01dB,8.99571299296092e+01°)	(-2.42663371791260e+02dB,8.99571298347632e+01°)	(-5.12263021367338e+02dB,-1.78912771301880e+02°)	(-3.00199104049350e+02dB,8.99142606640710e+01°)	(-2.37679734309215e+02dB,1.79957130733408e+02°)	(-2.46199111386010e+02dB,1.79914260664071e+02°)	(-3.99999635299134e+01dB,1.28609731168084e-01°)	(-4.00000024313500e+01dB,-4.28700703907785e-02°)	(-infdB,0.00000000000000e+00°)	(-2.46199111386010e+02dB,-8.57393359290199e-02°)	(-2.42663371791260e+02dB,-9.00428701652387e+01°)	(-4.00000024313500e+01dB,-4.28700703907785e-02°)	(-2.49720936567124e+02dB,-8.57393359290199e-02°)	(-2.40178511472731e+02dB,1.79914260664071e+02°)	(-2.49720936567124e+02dB,-8.57393359290199e-02°)	(-2.37679734309215e+02dB,-4.28692665923497e-02°)	(-3.99999635299134e+01dB,-1.79871390268832e+02°)	(-2.40178511472731e+02dB,-8.57393359290199e-02°)	(-2.42663371791260e+02dB,8.99571298347613e+01°)
2.23872113856834e+06	(0.00000000000000e+00dB,0.00000000000000e+00°)	(-2.49877779305407e+00dB,-4.81010077914929e-02°)	(-2.49877779305407e+00dB,-4.81010077914929e-02°)	(-6.02060297416769e+00dB,-4.81010077914929e-02°)	(-infdB,0.00000000000000e+00°)	(-1.77120845146005e+02dB,8.99518988857874e+01°)	(-infdB,0.00000000000000e+00°)	(-5.29812792368607e+02dB,1.80000000000000e+02°)	(-2.12219712558342e+02dB,-9.62011125237169e-02°)	(-1.17679572079940e+02dB,-4.81010077914929e-02°)	(-2.15741537739456e+02dB,-9.62011125237169e-02°)	(-2.12219712558342e+02dB,-9.62011125237169e-02°)	(-infdB,0.00000000000000e+00°)	(-8.94781705431142e+01dB,8.99518989922085e+01°)	(-2.41663372420798e+02dB,8.99518988857895e+01°)	(-5.10263369459553e+02dB,-1.79040872725644e+02°)	(-2.99199105308403e+02dB,8.99037988874763e+01°)	(-2.37679734938729e+02dB,1.79951899894085e+02°)	(-2.46199112645063e+02dB,1.79903798887476e+02°)	(-3.99999540869378e+01dB,1.44302345351455e-01°)	(-4.00000030608881e+01dB,-4.81010077914929e-02°)	(-infdB,0.00000000000000e+00°)	(-2.46199112645063e+02dB,-9.62011125237169e-02°)	(-2.41663372420798e+02dB,-9.00481011142126e+01°)	(-4.00000030608881e+01dB,-4.81010077914929e-02°)	(-2.49720937826176e+02dB,-9.62011125237169e-02°)	(-2.40178512731783e+02dB,1.79903798887476e+02°)	(-2.49720937826176e+02dB,-9.62011125237169e-02°)	(-2.37679734938729e+02dB,-4.81001059149529e-02°)	(-3.99999540869378e+01dB,-1.79855697654649e+02°)	(-2.40178512731783e+02dB,-9.62011125237169e-02°)	(-2.41663372420798e+02dB,8.99518988857874e+01°)
2.51188643150958e+06	(0.00000000000000e+00dB,0.00000000000000e+00°)	(-2.49877858559542e+00dB,-5.39702151295799e-02°)	(-2.49877858559542e+00dB,-5.39702151295799e-02°)	(-6.02060376670905e+00dB,-5.39702151295799e-02°)	(-infdB,0.00000000000000e+00°)	(-1.76120845938547e+02dB,8.99460296654639e+01°)	(-infdB,0.00000000000000e+00°)	(-5.29812775801619e+02dB,-1.79888094322934e+02°)	(-2.12219714143395e+02dB,-1.07939417010180e-01°)	(-1.17679572872481e+02dB,-5.39702151295799e-02°)	(-2.15741539324509e+02dB,-1.07939417010180e-01°)	(-2.12219714143395e+02dB,-1.07939417010180e-01°)	(-infdB,0.00000000000000e+00°)	(-8.84781713356556e+01dB,8.99460297848704e+01°)	(-2.40663373213340e+02dB,8.99460296654663e+01°)	(-5.08263646271330e+02dB,-1.79156258233356e+02°)	(-2.98199106893456e+02dB,8.98920605829898e+01°)	(-2.37679735731241e+02dB,1.79946030796792e+02°)	(-2.46199114230116e+02dB,1.79892060582990e+02°)	(-3.99999421989689e+01dB,1.61909687657545e-01°)	(-4.00000038534294e+01dB,-5.39702151295799e-02°)	(-infdB,0.00000000000000e+00°)	(-2.46199114230116e+02dB,-1.07939417010180e-01°)	(-2.40663373213340e+02dB,-9.00539703345361e+01°)	(-4.00000038534294e+01dB,-5.39702151295799e-02°)	(-2.49720939411229e+02dB,-1.07939417010180e-01°)	(-2.40178514316836e+02dB,1.79892060582990e+02°)	(-2.49720939411229e+02dB,-1.07939417010180e-01°)	(-2.37679735731241e+02dB,-5.39692032076432e-02°)	(-3.99999421989689e+01dB,-1.79838090312342e+02°)	(-2.40178514316836e+02dB,-1.07939417010180e-01°)	(-2.40663373213340e+02dB,8.99460296654639e+01°)
2.81838293126445e+06	(0.00000000000000e+00dB,0.00000000000000e+00°)	(-2.49877958334566e+00dB,-6.05555727206793e-02°)	(-2.49877958334566e+00dB,-6.05555727206793e-02°)	(-6.02060476445929e+00dB,-6.05555727206793e-02°)	(-infdB,0.00000000000000e+00°)	(-1.75120846936297e+02dB,8.99394442933030e+01°)	(-infdB,0.00000000000000e+00°)	(-5.83998191588124e+02dB,9.00000000000000e+01°)	(-2.12219716138858e+02dB,-1.21110008557565e-01°)	(-1.17679573870232e+02dB,-6.05555727206793e-02°)	(-2.15741541319972e+02dB,-1.21110008557565e-01°)	(-2.12219716138858e+02dB,-1.21110008557565e-01°)	(-infdB,0.00000000000000e+00°)	(-8.74781723334058e+01dB,8.99394444272793e+01°)	(-2.39663374211090e+02dB,8.99394442933057e+01°)	(-5.06263866531466e+02dB,-1.79260455672977e+02°)	(-2.97199108888919e+02dB,8.98788899914424e+01°)	(-2.37679736728954e+02dB,1.79939445562674e+02°)	(-2.46199116225579e+02dB,1.79878889991442e+02°)	(-3.99999272329553e+01dB,1.81665365333938e-01°)	(-4.00000048511797e+01dB,-6.05555727206793e-02°)	(-infdB,0.00000000000000e+00°)	(-2.46199116225579e+02dB,-1.21110008557565e-01°)	(-2.39663374211090e+02dB,-9.00605557066970e+01°)	(-4.00000048511797e+01dB,-6.05555727206793e-02°)	(-2.49720941406692e+02dB,-1.21110008557565e-01°)	(-2.40178516312299e+02dB,1.79878889991442e+02°)	(-2.49720941406692e+02dB,-1.21110008557565e-01°)	(-2.37679736728954e+02dB,-6.05544373258529e-02°)	(-3.99999272329553e+01dB,-1.79818334634666e+02°)	(-2.40178516312299e+02dB,-1.21110008557565e-01°)	(-2.39663374211090e+02dB,8.99394442933030e+01°)
3.16227766016838e+06	(0.00000000000000e+00dB,0.00000000000000e+00°)	(-2.49878083943847e+00dB,-6.79444635529889e-02°)	(-2.49878083943847e+00dB,-6.79444635529889e-02°)	(-6.02060602055210e+00dB,-6.79444635529889e-02°)	(-infdB,0.00000000000000e+00°)	(-1.74120848192390e+02dB,8.99320553861231e+01°)	(-infdB,0.00000000000000e+00°)	(-5.29812792368607e+02dB,1.80000000000000e+02°)	(-2.12219718650997e+02dB,-1.35887651501750e-01°)	(-1.17679575126324e+02dB,-6.79444635529889e-02°)	(-2.15741543832111e+02dB,-1.35887651501750e-01°)	(-2.12219718650997e+02dB,-1.35887651501750e-01°)	(-infdB,0.00000000000000e+00°)	(-8.64781735894987e+01dB,8.99320555364470e+01°)	(-2.38663375467183e+02dB,8.99320553861262e+01°)	(-5.04264041961765e+02dB,-1.79354845381329e+02°)	(-2.96199111401057e+02dB,8.98641123484983e+01°)	(-2.37679737984999e+02dB,1.79932056810381e+02°)	(-2.46199118737717e+02dB,1.79864112348498e+02°)	(-3.99999083919435e+01dB,2.03831479744121e-01°)	(-4.00000061072725e+01dB,-6.79444635529889e-02°)	(-infdB,0.00000000000000e+00°)	(-2.46199118737717e+02dB,-1.35887651501750e-01°)	(-2.38663375467183e+02dB,-9.00679446138769e+01°)	(-4.00000061072725e+01dB,-6.79444635529889e-02°)	(-2.49720943918831e+02dB,-1.35887651501750e-01°)	(-2.40178518824438e+02dB,1.79864112348498e+02°)	(-2.49720943918831e+02dB,-1.35887651501750e-01°)	(-2.37679737984999e+02dB,-6.79431896194091e-02°)	(-3.99999083919435e+01dB,-1.79796168520256e+02°)	(-2.40178518824438e+02dB,-1.35887651501750e-01°)	(-2.38663375467183e+02dB,8.99320553861231e+01°)
3.54813389233575e+06	(0.00000000000000e+00dB,0.00000000000000e+00°)	(-2.49878242076511e+00dB,-7.62349327213649e-02°)	(-2.49878242076511e+00dB,-7.62349327213649e-02°)	(-6.02060760187874e+00dB,-7.62349327213649e-02°)	(-infdB,0.00000000000000e+00°)	(-1.73120849773716e+02dB,8.99237648986125e+01°)	(-infdB,0.00000000000000e+00°)	(-infdB,0.00000000000000e+00°)	(-2.12219721813591e+02dB,-1.52468434191767e-01°)	(-1.17679576707651e+02dB,-7.62349327213649e-02°)	(-2.15741546994705e+02dB,-1.52468434191767e-01°)	(-2.12219721813591e+02dB,-1.52468434191767e-01°)	(-infdB,0.00000000000000e+00°)	(-8.54781751708253e+01dB,8.99237650672786e+01°)	(-2.37663377048510e+02dB,8.99237648986159e+01°)	(-5.02264181899578e+02dB,-1.79440678223571e+02°)	(-2.95199114563651e+02dB,8.98475315658082e+01°)	(-2.37679739566267e+02dB,1.79923766496655e+02°)	(-2.46199121900311e+02dB,1.79847531565808e+02°)	(-3.99998846726466e+01dB,2.28702098935155e-01°)	(-4.00000076885991e+01dB,-7.62349327213649e-02°)	(-infdB,0.00000000000000e+00°)	(-2.46199121900311e+02dB,-1.52468434191767e-01°)	(-2.37663377048510e+02dB,-9.00762351013875e+01°)	(-4.00000076885991e+01dB,-7.62349327213649e-02°)	(-2.49720947081425e+02dB,-1.52468434191767e-01°)	(-2.40178521987032e+02dB,1.79847531565808e+02°)	(-2.49720947081425e+02dB,-1.52468434191767e-01°)	(-2.37679739566267e+02dB,-7.62335033448993e-02°)	(-3.99998846726466e+01dB,-1.79771297901065e+02°)	(-2.40178521987032e+02dB,-1.52468434191767e-01°)	(-2.37663377048510e+02dB,8.99237648986125e+01°)
3.98107170553497e+06	(0.00000000000000e+00dB,0.00000000000000e+00°)	(-2.49878441153659e+00dB,-8.55369883060098e-02°)	(-2.49878441153659e+00dB,-8.55369883060098e-02°)	(-6.02060959265021e+00dB,-8.55369883060098e-02°)	(-infdB,0.00000000000000e+00°)	(-1.72120851764488e+02dB,8.99144628224474e+01°)	(-infdB,0.00000000000000e+00°)	(-infdB,0.00000000000000e+00°)	(-2.12219725795059e+02dB,-1.71072370722763e-01°)	(-1.17679578698422e+02dB,-8.55369883060098e-02°)	(-2.15741550976173e+02dB,-1.71072370722763e-01°)	(-2.12219725795059e+02dB,-1.71072370722763e-01°)	(-infdB,0.00000000000000e+00°)	(-8.44781771615968e+01dB,8.99144630116940e+01°)	(-2.36663379039281e+02dB,8.99144628224512e+01°)	(-5.00264293793975e+02dB,-1.79519091995351e+02°)	(-2.94199118545120e+02dB,8.98289276292772e+01°)	(-2.37679741556963e+02dB,1.79914464615480e+02°)	(-2.46199125881780e+02dB,1.79828927629277e+02°)	(-3.99998548120299e+01dB,2.56607152173637e-01°)	(-4.00000096793706e+01dB,-8.55369883060098e-02°)	(-infdB,0.00000000000000e+00°)	(-2.46199125881780e+02dB,-1.71072370722763e-01°)	(-2.36663379039281e+02dB,-9.00855371775526e+01°)	(-4.00000096793706e+01dB,-8.55369883060098e-02°)	(-2.49720951062893e+02dB,-1.71072370722763e-01°)	(-2.40178525968500e+02dB,1.79828927629277e+02°)	(-2.49720951062893e+02dB,-1.71072370722763e-01°)	(-2.37679741556963e+02dB,-8.55353845199724e-02°)	(-3.99998548120299e+01dB,-1.79743392847826e+02°)	(-2.40178525968500e+02dB,-1.71072370722763e-01°)	(-2.36663379039281e+02dB,8.99144628224474e+01°)
4.46683592150963e+06	(0.00000000000000e+00dB,0.00000000000000e+00°)	(-2.49878691776809e+00dB,-9.59740609431397e-02°)	(-2.49878691776809e+00dB,-9.59740609431397e-02°)	(-6.02061209888171e+00dB,-9.59740609431397e-02°)	(-infdB,0.00000000000000e+00°)	(-1.71120854270719e+02dB,8.99040257267187e+01°)	(-infdB,0.00000000000000e+00°)	(-infdB,0.00000000000000e+00°)	(-2.12219730807428e+02dB,-1.91946320049938e-01°)	(-1.17679581204654e+02dB,-9.59740609431397e-02°)	(-2.15741555988542e+02dB,-1.91946320049938e-01°)	(-2.12219730807428e+02dB,-1.91946320049938e-01°)	(-infdB,0.00000000000000e+00°)	(-8.34781796678283e+01dB,8.99040259390569e+01°)	(-2.35663381545513e+02dB,8.99040257267230e+01°)	(-4.98264383601769e+02dB,-1.79591126381733e+02°)	(-2.93199123557489e+02dB,8.98080536799501e+01°)	(-2.37679744063101e+02dB,1.79904027738533e+02°)	(-2.46199130894149e+02dB,1.79808053679950e+02°)	(-3.99998172200714e+01dB,2.87916797216518e-01°)	(-4.00000121856021e+01dB,-9.59740609431397e-02°)	(-infdB,0.00000000000000e+00°)	(-2.46199130894149e+02dB,-1.91946320049938e-01°)	(-2.35663381545512e+02dB,-9.00959742732813e+01°)	(-4.00000121856021e+01dB,-9.59740609431397e-02°)	(-2.49720956075262e+02dB,-1.91946320049938e-01°)	(-2.40178530980869e+02dB,1.79808053679950e+02°)	(-2.49720956075262e+02dB,-1.91946320049938e-01°)	(-2.37679744063101e+02dB,-9.59722614666474e-02°)	(-3.99998172200714e+01dB,-1.79712083202784e+02°)	(-2.40178530980869e+02dB,-1.91946320049938e-01°)	(-2.35663381545512e+02dB,8.99040257267187e+01°)
5.01187233627272e+06	(0.00000000000000e+00dB,0.00000000000000e+00°)	(-2.49879007292455e+00dB,-1.07684641434801e-01°)	(-2.49879007292455e+00dB,-1.07684641434801e-01°)	(-6.02061525403818e+00dB,-1.07684641434801e-01°)	(-infdB,0.00000000000000e+00°)	(-1.70120857425876e+02dB,8.98923151203179e+01°)	(-infdB,0.00000000000000e+00°)	(-5.77977591674844e+02dB,9.00000000000000e+01°)	(-2.12219737117623e+02dB,-2.15367261177444e-01°)	(-1.17679584359810e+02dB,-1.07684641434801e-01°)	(-2.15741562298737e+02dB,-2.15367261177444e-01°)	(-2.12219737117623e+02dB,-2.15367261177444e-01°)	(-infdB,0.00000000000000e+00°)	(-8.24781828229847e+01dB,8.98923153585652e+01°)	(-2.34663384700669e+02dB,8.98923151203227e+01°)	(-4.96264456104306e+02dB,-1.79657736654682e+02°)	(-2.92199129867683e+02dB,8.97846327388226e+01°)	(-2.37679747218139e+02dB,1.79892317377610e+02°)	(-2.46199137204343e+02dB,1.79784632738823e+02°)	(-3.99997698951241e+01dB,3.23046316980349e-01°)	(-4.00000153407586e+01dB,-1.07684641434801e-01°)	(-infdB,0.00000000000000e+00°)	(-2.46199137204343e+02dB,-2.15367261177444e-01°)	(-2.34663384700669e+02dB,-9.01076848796821e+01°)	(-4.00000153407586e+01dB,-1.07684641434801e-01°)	(-2.49720962385457e+02dB,-2.15367261177444e-01°)	(-2.40178537291064e+02dB,1.79784632738823e+02°)	(-2.49720962385457e+02dB,-2.15367261177444e-01°)	(-2.37679747218139e+02dB,-1.07682622390435e-01°)	(-3.99997698951241e+01dB,-1.79676953683020e+02°)	(-2.40178537291064e+02dB,-2.15367261177444e-01°)	(-2.34663384700669e+02dB,8.98923151203179e+01°)
