time	V(0.9)	V(1.8)	V(clk1)	V(clk2)	V(v_err)	V(v_held)	V(v_in)	V(v_sampled)	V(v_sampled_noisy)	V(vout_n)	V(vout_p)	I(B_ERR)	I(C_HOLD)	I(C_SAMP)	I(R_HOLD_LEAK)	I(S_HOLD)	I(S_TRACK)	I(VCLK1)	I(VCLK2)	I(VIN)	I(VNOISE_SRC)	Ix(xcomp:outn)	Ix(xcomp:outp)
0.000000000000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.799638e-04	8.998200e-01	9.000000e-01	8.999100e-01	8.999100e-01	0.000000e+00	1.800000e+00	0.000000e+00	8.998200e-25	8.999100e-25	8.998200e-11	-8.998200e-11	-8.998200e-11	0.000000e+00	0.000000e+00	-8.998200e-11	0.000000e+00	0.000000e+00	0.000000e+00
1.953124992195698e-15	0.000000e+00	0.000000e+00	3.515625e-05	0.000000e+00	1.800334e-04	8.998200e-01	9.000001e-01	8.999100e-01	8.999100e-01	0.000000e+00	1.800000e+00	0.000000e+00	-5.684342e-14	0.000000e+00	8.998200e-11	-8.998200e-11	-9.005158e-11	0.000000e+00	0.000000e+00	-9.005158e-11	0.000000e+00	0.000000e+00	0.000000e+00
3.906249984391395e-15	0.000000e+00	0.000000e+00	7.031250e-05	0.000000e+00	1.801030e-04	8.998200e-01	9.000002e-01	8.999100e-01	8.999100e-01	0.000000e+00	1.800000e+00	0.000000e+00	-5.684342e-14	1.136868e-13	8.998200e-11	-8.998200e-11	-9.012117e-11	0.000000e+00	0.000000e+00	-9.012117e-11	0.000000e+00	0.000000e+00	0.000000e+00
7.812499968782791e-15	0.000000e+00	0.000000e+00	1.406250e-04	0.000000e+00	1.802421e-04	8.998200e-01	9.000003e-01	8.999100e-01	8.999100e-01	0.000000e+00	1.800000e+00	0.000000e+00	-5.684342e-14	2.273737e-13	8.998200e-11	-8.998200e-11	-9.026033e-11	0.000000e+00	0.000000e+00	-9.026033e-11	0.000000e+00	0.000000e+00	0.000000e+00
1.562499993756558e-14	0.000000e+00	0.000000e+00	2.812500e-04	0.000000e+00	1.805205e-04	8.998200e-01	9.000006e-01	8.999100e-01	8.999100e-01	0.000000e+00	1.800000e+00	0.000000e+00	0.000000e+00	5.115908e-13	8.998200e-11	-8.998200e-11	-9.053865e-11	0.000000e+00	0.000000e+00	-9.053865e-11	0.000000e+00	0.000000e+00	0.000000e+00
3.124999987513116e-14	0.000000e+00	0.000000e+00	5.625000e-04	0.000000e+00	1.810771e-04	8.998200e-01	9.000011e-01	8.999100e-01	8.999100e-01	0.000000e+00	1.800000e+00	0.000000e+00	1.421085e-14	1.108447e-12	8.998200e-11	-8.998200e-11	-9.109530e-11	0.000000e+00	0.000000e+00	-9.109530e-11	0.000000e+00	0.000000e+00	0.000000e+00
6.249999975026233e-14	0.000000e+00	0.000000e+00	1.125000e-03	0.000000e+00	1.821904e-04	8.998200e-01	9.000022e-01	8.999100e-01	8.999100e-01	0.000000e+00	1.800000e+00	0.000000e+00	-7.105427e-15	2.216893e-12	8.998200e-11	-8.998200e-11	-9.220861e-11	0.000000e+00	0.000000e+00	-9.220861e-11	0.000000e+00	0.000000e+00	0.000000e+00
1.249999995005247e-13	0.000000e+00	0.000000e+00	2.250000e-03	0.000000e+00	1.844170e-04	8.998200e-01	9.000044e-01	8.999100e-01	8.999100e-01	0.000000e+00	1.800000e+00	0.000000e+00	0.000000e+00	4.451550e-12	8.998200e-11	-8.998200e-11	-9.443522e-11	0.000000e+00	0.000000e+00	-9.443522e-11	0.000000e+00	0.000000e+00	0.000000e+00
2.499999990010493e-13	0.000000e+00	0.000000e+00	4.500000e-03	0.000000e+00	1.888702e-04	8.998200e-01	9.000089e-01	8.999100e-01	8.999100e-01	0.000000e+00	1.800000e+00	0.000000e+00	3.552714e-15	8.908430e-12	8.998200e-11	-8.998201e-11	-9.888843e-11	0.000000e+00	0.000000e+00	-9.888843e-11	0.000000e+00	0.000000e+00	0.000000e+00
4.999999980020986e-13	0.000000e+00	0.000000e+00	9.000000e-03	0.000000e+00	1.977767e-04	8.998200e-01	9.000178e-01	8.999100e-01	8.999100e-01	0.000000e+00	1.800000e+00	0.000000e+00	8.881784e-16	1.781242e-11	8.998200e-11	-8.998201e-11	-1.077948e-10	0.000000e+00	0.000000e+00	-1.077948e-10	0.000000e+00	0.000000e+00	0.000000e+00
9.999999960041972e-13	0.000000e+00	0.000000e+00	1.800000e-02	0.000000e+00	2.155895e-04	8.998200e-01	9.000356e-01	8.999100e-01	8.999100e-01	0.000000e+00	1.800000e+00	0.000000e+00	0.000000e+00	3.562484e-11	8.998200e-11	-8.998202e-11	-1.256077e-10	0.000000e+00	0.000000e+00	-1.256077e-10	0.000000e+00	0.000000e+00	0.000000e+00
1.999999992008394e-12	0.000000e+00	0.000000e+00	3.600000e-02	0.000000e+00	2.512152e-04	8.998200e-01	9.000713e-01	8.999100e-01	8.999100e-01	0.000000e+00	1.800000e+00	0.000000e+00	2.220446e-16	7.125167e-11	8.998200e-11	-8.998208e-11	-1.612333e-10	0.000000e+00	0.000000e+00	-1.612333e-10	0.000000e+00	0.000000e+00	0.000000e+00
3.999999984016789e-12	0.000000e+00	0.000000e+00	7.200000e-02	0.000000e+00	3.224665e-04	8.998200e-01	9.001425e-01	8.999100e-01	8.999100e-01	0.000000e+00	1.800000e+00	0.000000e+00	3.330669e-16	1.425022e-10	8.998200e-11	-8.998229e-11	-2.324845e-10	0.000000e+00	0.000000e+00	-2.324845e-10	0.000000e+00	0.000000e+00	0.000000e+00
7.999999968033578e-12	0.000000e+00	0.000000e+00	1.440000e-01	0.000000e+00	4.649691e-04	8.998200e-01	9.002850e-01	8.999100e-01	8.999100e-01	0.000000e+00	1.800000e+00	0.000000e+00	1.165734e-15	2.850032e-10	8.998200e-11	-8.998315e-11	-3.749864e-10	0.000000e+00	0.000000e+00	-3.749864e-10	0.000000e+00	0.000000e+00	0.000000e+00
1.599999993606716e-11	0.000000e+00	0.000000e+00	2.880000e-01	0.000000e+00	7.499743e-04	8.998200e-01	9.005700e-01	8.999100e-01	8.999100e-01	0.000000e+00	1.800000e+00	0.000000e+00	4.551914e-15	5.700019e-10	8.998200e-11	-8.998657e-11	-6.599885e-10	0.000000e+00	0.000000e+00	-6.599885e-10	0.000000e+00	0.000000e+00	0.000000e+00
3.199999987213431e-11	0.000000e+00	0.000000e+00	5.760000e-01	0.000000e+00	1.319985e-03	8.998200e-01	9.011400e-01	8.999100e-01	8.999100e-01	0.000000e+00	1.800000e+00	0.000000e+00	1.823541e-14	1.139985e-09	8.998200e-11	-9.000024e-11	-1.229986e-09	0.000000e+00	0.000000e+00	-1.229986e-09	0.000000e+00	0.000000e+00	0.000000e+00
3.381888917105926e-11	0.000000e+00	0.000000e+00	6.087400e-01	0.000000e+00	1.384784e-03	8.998200e-01	9.012048e-01	8.999100e-01	8.999100e-01	0.000000e+00	1.800000e+00	0.000000e+00	2.031708e-14	1.204780e-09	8.998200e-11	-9.000237e-11	-1.294783e-09	0.000000e+00	0.000000e+00	-1.294783e-09	0.000000e+00	0.000000e+00	0.000000e+00
3.745666776890916e-11	0.000000e+00	0.000000e+00	6.742200e-01	0.000000e+00	1.514382e-03	8.998200e-01	9.013344e-01	8.999100e-01	8.999100e-01	0.000000e+00	1.800000e+00	0.000000e+00	2.498002e-14	1.334369e-09	8.998200e-11	-9.000699e-11	-1.424376e-09	0.000000e+00	0.000000e+00	-1.424376e-09	0.000000e+00	0.000000e+00	0.000000e+00
4.473222496460898e-11	0.000000e+00	0.000000e+00	8.051801e-01	0.000000e+00	1.773578e-03	8.998200e-01	9.015936e-01	8.999100e-01	8.999100e-01	0.000000e+00	1.800000e+00	0.000000e+00	3.561040e-14	1.593544e-09	8.998200e-11	-9.001765e-11	-1.683562e-09	0.000000e+00	0.000000e+00	-1.683562e-09	0.000000e+00	0.000000e+00	0.000000e+00
5.928333935600861e-11	0.000000e+00	0.000000e+00	1.067100e+00	0.000000e+00	0.000000e+00	8.998200e-01	9.021120e-01	8.999101e-01	8.999101e-01	0.000000e+00	1.800000e+00	0.000000e+00	6.258882e-14	2.111883e-09	8.998200e-11	-9.004460e-11	-2.201927e-09	0.000000e+00	0.000000e+00	-2.201927e-09	0.000000e+00	0.000000e+00	0.000000e+00
6.076221657223484e-11	0.000000e+00	0.000000e+00	1.093720e+00	0.000000e+00	0.000000e+00	8.998200e-01	9.021647e-01	8.999184e-01	8.999184e-01	0.000000e+00	1.800000e+00	0.000000e+00	8.369305e-12	1.123142e-05	8.998200e-11	-9.835111e-11	-1.123152e-05	0.000000e+00	0.000000e+00	-1.123152e-05	0.000000e+00	0.000000e+00	0.000000e+00
6.196678820349965e-11	0.000000e+00	0.000000e+00	1.115402e+00	0.000000e+00	0.000000e+00	8.998200e-01	9.022076e-01	8.999320e-01	8.999320e-01	0.000000e+00	1.800000e+00	0.000000e+00	2.198663e-11	1.137789e-05	8.998200e-11	-1.119684e-10	-1.137800e-05	0.000000e+00	0.000000e+00	-1.137800e-05	0.000000e+00	0.000000e+00	0.000000e+00
6.253060939166597e-11	0.000000e+00	0.000000e+00	1.125551e+00	0.000000e+00	0.000000e+00	8.998200e-01	9.022277e-01	8.999385e-01	8.999385e-01	0.000000e+00	1.800000e+00	0.000000e+00	2.842127e-11	1.144614e-05	8.998200e-11	-1.184027e-10	-1.144626e-05	0.000000e+00	0.000000e+00	-1.144626e-05	0.000000e+00	0.000000e+00	0.000000e+00
6.330789752520126e-11	0.000000e+00	0.000000e+00	1.139542e+00	0.000000e+00	0.000000e+00	8.998200e-01	9.022554e-01	8.999473e-01	8.999473e-01	0.000000e+00	1.800000e+00	0.000000e+00	3.735412e-11	1.153993e-05	8.998200e-11	-1.273361e-10	-1.154005e-05	0.000000e+00	0.000000e+00	-1.154005e-05	0.000000e+00	0.000000e+00	0.000000e+00
6.486247379227184e-11	0.000000e+00	0.000000e+00	1.167525e+00	0.000000e+00	0.000000e+00	8.998200e-01	9.023108e-01	8.999655e-01	8.999655e-01	0.000000e+00	1.800000e+00	0.000000e+00	5.543876e-11	1.172640e-05	8.998200e-11	-1.454207e-10	-1.172654e-05	0.000000e+00	0.000000e+00	-1.172654e-05	0.000000e+00	0.000000e+00	0.000000e+00
6.797162632641300e-11	0.000000e+00	0.000000e+00	1.223489e+00	0.000000e+00	0.000000e+00	8.998200e-01	9.024215e-01	9.000025e-01	9.000025e-01	0.000000e+00	1.800000e+00	0.000000e+00	9.247070e-11	1.209502e-05	8.998200e-11	-1.824527e-10	-1.209521e-05	0.000000e+00	0.000000e+00	-1.209521e-05	0.000000e+00	0.000000e+00	0.000000e+00
7.418993139469533e-11	0.000000e+00	0.000000e+00	1.335419e+00	0.000000e+00	0.000000e+00	8.998200e-01	9.026431e-01	9.000800e-01	9.000800e-01	0.000000e+00	1.800000e+00	0.000000e+00	1.699201e-10	1.281535e-05	8.998200e-11	-2.599021e-10	-1.281561e-05	0.000000e+00	0.000000e+00	-1.281561e-05	0.000000e+00	0.000000e+00	0.000000e+00
8.662654153125997e-11	0.000000e+00	0.000000e+00	1.559278e+00	0.000000e+00	0.000000e+00	8.998200e-01	9.030861e-01	9.002479e-01	9.002479e-01	0.000000e+00	1.800000e+00	0.000000e+00	3.378497e-10	1.419081e-05	8.998200e-11	-4.278317e-10	-1.419124e-05	0.000000e+00	0.000000e+00	-1.419124e-05	0.000000e+00	0.000000e+00	0.000000e+00
9.973402239266632e-11	0.000000e+00	0.000000e+00	1.795212e+00	0.000000e+00	0.000000e+00	8.998200e-01	9.035531e-01	9.004428e-01	9.004428e-01	0.000000e+00	1.800000e+00	0.000000e+00	5.327631e-10	1.555082e-05	8.998201e-11	-6.227451e-10	-1.555144e-05	0.000000e+00	0.000000e+00	-1.555144e-05	0.000000e+00	0.000000e+00	0.000000e+00
1.000000000000000e-10	0.000000e+00	0.000000e+00	1.800000e+00	0.000000e+00	0.000000e+00	8.998200e-01	9.035625e-01	9.004470e-01	9.004470e-01	0.000000e+00	1.800000e+00	0.000000e+00	5.369030e-10	1.557749e-05	8.998201e-11	-6.268847e-10	-1.557812e-05	0.000000e+00	0.000000e+00	-1.557812e-05	0.000000e+00	0.000000e+00	0.000000e+00
1.042556417173390e-10	0.000000e+00	0.000000e+00	1.800000e+00	0.000000e+00	0.000000e+00	8.998200e-01	9.037142e-01	9.005141e-01	9.005141e-01	0.000000e+00	1.800000e+00	0.000000e+00	6.040906e-10	1.599952e-05	8.998201e-11	-6.940726e-10	-1.600021e-05	0.000000e+00	0.000000e+00	-1.600021e-05	0.000000e+00	0.000000e+00	0.000000e+00
1.127669251520170e-10	0.000000e+00	0.000000e+00	1.800000e+00	0.000000e+00	0.000000e+00	8.998200e-01	9.040174e-01	9.006538e-01	9.006538e-01	0.000000e+00	1.800000e+00	0.000000e+00	7.437411e-10	1.681718e-05	8.998201e-11	-8.337231e-10	-1.681801e-05	0.000000e+00	0.000000e+00	-1.681801e-05	0.000000e+00	0.000000e+00	0.000000e+00
1.251244338019469e-10	0.000000e+00	0.000000e+00	1.800000e+00	0.000000e+00	0.000000e+00	8.998201e-01	9.044576e-01	9.008685e-01	9.008685e-01	0.000000e+00	1.800000e+00	0.000000e+00	9.585130e-10	1.794425e-05	8.998201e-11	-1.048495e-09	-1.794529e-05	0.000000e+00	0.000000e+00	-1.794529e-05	0.000000e+00	0.000000e+00	0.000000e+00
1.401134351657300e-10	0.000000e+00	0.000000e+00	1.800000e+00	0.000000e+00	0.000000e+00	8.998201e-01	9.049916e-01	9.011471e-01	9.011471e-01	0.000000e+00	1.800000e+00	0.000000e+00	1.237033e-09	1.922121e-05	8.998201e-11	-1.327015e-09	-1.922253e-05	0.000000e+00	0.000000e+00	-1.922253e-05	0.000000e+00	0.000000e+00	0.000000e+00
1.541145755052008e-10	0.000000e+00	0.000000e+00	1.800000e+00	0.000000e+00	0.000000e+00	8.998201e-01	9.054904e-01	9.014240e-01	9.014240e-01	0.000000e+00	1.800000e+00	0.000000e+00	1.513899e-09	2.033046e-05	8.998201e-11	-1.603881e-09	-2.033206e-05	0.000000e+00	0.000000e+00	-2.033206e-05	0.000000e+00	0.000000e+00	0.000000e+00
1.692218098066152e-10	0.000000e+00	0.000000e+00	1.800000e+00	0.000000e+00	0.000000e+00	8.998201e-01	9.060286e-01	9.017395e-01	9.017395e-01	0.000000e+00	1.800000e+00	0.000000e+00	1.829417e-09	2.144338e-05	8.998201e-11	-1.919399e-09	-2.144530e-05	0.000000e+00	0.000000e+00	-2.144530e-05	0.000000e+00	0.000000e+00	0.000000e+00
1.837697510872569e-10	0.000000e+00	0.000000e+00	1.800000e+00	0.000000e+00	0.000000e+00	8.998201e-01	9.065468e-01	9.020587e-01	9.020587e-01	0.000000e+00	1.800000e+00	0.000000e+00	2.148584e-09	2.243841e-05	8.998201e-11	-2.238566e-09	-2.244065e-05	0.000000e+00	0.000000e+00	-2.244065e-05	0.000000e+00	0.000000e+00	0.000000e+00
1.994877925844106e-10	0.000000e+00	0.000000e+00	1.800000e+00	0.000000e+00	0.000000e+00	8.998202e-01	9.071068e-01	9.024193e-01	9.024193e-01	0.000000e+00	1.800000e+00	0.000000e+00	2.509069e-09	2.343517e-05	8.998202e-11	-2.599051e-09	-2.343777e-05	0.000000e+00	0.000000e+00	-2.343777e-05	0.000000e+00	0.000000e+00	0.000000e+00
2.148874869982686e-10	0.000000e+00	0.000000e+00	1.800000e+00	0.000000e+00	0.000000e+00	8.998202e-01	9.076554e-01	9.027871e-01	9.027871e-01	0.000000e+00	1.800000e+00	0.000000e+00	2.876878e-09	2.433856e-05	8.998202e-11	-2.966860e-09	-2.434152e-05	0.000000e+00	0.000000e+00	-2.434152e-05	0.000000e+00	0.000000e+00	0.000000e+00
2.313415898270764e-10	0.000000e+00	0.000000e+00	1.800000e+00	0.000000e+00	0.000000e+00	8.998203e-01	9.082416e-01	9.031949e-01	9.031949e-01	0.000000e+00	1.800000e+00	0.000000e+00	3.284630e-09	2.522994e-05	8.998203e-11	-3.374612e-09	-2.523331e-05	0.000000e+00	0.000000e+00	-2.523331e-05	0.000000e+00	0.000000e+00	0.000000e+00
2.476386943661409e-10	0.000000e+00	0.000000e+00	1.800000e+00	0.000000e+00	0.000000e+00	8.998203e-01	9.088221e-01	9.036127e-01	9.036127e-01	0.000000e+00	1.800000e+00	0.000000e+00	3.702376e-09	2.604332e-05	8.998204e-11	-3.792358e-09	-2.604711e-05	0.000000e+00	0.000000e+00	-2.604711e-05	0.000000e+00	0.000000e+00	0.000000e+00
2.649180772124057e-10	0.000000e+00	0.000000e+00	1.800000e+00	0.000000e+00	0.000000e+00	8.998204e-01	9.094377e-01	9.040695e-01	9.040695e-01	0.000000e+00	1.800000e+00	0.000000e+00	4.159173e-09	2.683630e-05	8.998204e-11	-4.249154e-09	-2.684055e-05	0.000000e+00	0.000000e+00	-2.684055e-05	0.000000e+00	0.000000e+00	0.000000e+00
2.821935239969641e-10	0.000000e+00	0.000000e+00	1.800000e+00	0.000000e+00	0.000000e+00	8.998205e-01	9.100531e-01	9.045395e-01	9.045395e-01	0.000000e+00	1.800000e+00	0.000000e+00	4.628987e-09	2.756340e-05	8.998205e-11	-4.718969e-09	-2.756812e-05	0.000000e+00	0.000000e+00	-2.756812e-05	0.000000e+00	0.000000e+00	0.000000e+00
3.004101142007728e-10	0.000000e+00	0.000000e+00	1.800000e+00	0.000000e+00	0.000000e+00	8.998206e-01	9.107020e-01	9.050480e-01	9.050480e-01	0.000000e+00	1.800000e+00	0.000000e+00	5.137400e-09	2.826501e-05	8.998206e-11	-5.227382e-09	-2.827024e-05	0.000000e+00	0.000000e+00	-2.827024e-05	0.000000e+00	0.000000e+00	0.000000e+00
3.187636384508274e-10	0.000000e+00	0.000000e+00	1.800000e+00	0.000000e+00	0.000000e+00	8.998207e-01	9.113558e-01	9.055727e-01	9.055727e-01	0.000000e+00	1.800000e+00	0.000000e+00	5.661983e-09	2.891005e-05	8.998207e-11	-5.751965e-09	-2.891581e-05	0.000000e+00	0.000000e+00	-2.891581e-05	0.000000e+00	0.000000e+00	0.000000e+00
3.380437984953622e-10	0.000000e+00	0.000000e+00	1.800000e+00	0.000000e+00	0.000000e+00	8.998208e-01	9.120426e-01	9.061360e-01	9.061360e-01	0.000000e+00	1.800000e+00	0.000000e+00	6.225205e-09	2.952679e-05	8.998208e-11	-6.315187e-09	-2.953311e-05	0.000000e+00	0.000000e+00	-2.953311e-05	0.000000e+00	0.000000e+00	0.000000e+00
3.575961119425262e-10	0.000000e+00	0.000000e+00	1.800000e+00	0.000000e+00	0.000000e+00	8.998209e-01	9.127391e-01	9.067189e-01	9.067189e-01	0.000000e+00	1.800000e+00	0.000000e+00	6.807944e-09	3.009430e-05	8.998209e-11	-6.897925e-09	-3.010120e-05	0.000000e+00	0.000000e+00	-3.010120e-05	0.000000e+00	0.000000e+00	0.000000e+00
3.780865008281511e-10	0.000000e+00	0.000000e+00	1.800000e+00	0.000000e+00	0.000000e+00	8.998210e-01	9.134690e-01	9.073410e-01	9.073410e-01	0.000000e+00	1.800000e+00	0.000000e+00	7.429954e-09	3.063234e-05	8.998211e-11	-7.519937e-09	-3.063986e-05	0.000000e+00	0.000000e+00	-3.063986e-05	0.000000e+00	0.000000e+00	0.000000e+00
3.989844502364475e-10	0.000000e+00	0.000000e+00	1.800000e+00	0.000000e+00	0.000000e+00	8.998212e-01	9.142134e-01	9.079863e-01	9.079863e-01	0.000000e+00	1.800000e+00	0.000000e+00	8.075115e-09	3.112705e-05	8.998212e-11	-8.165097e-09	-3.113522e-05	0.000000e+00	0.000000e+00	-3.113522e-05	0.000000e+00	0.000000e+00	0.000000e+00
4.208581917235196e-10	0.000000e+00	0.000000e+00	1.800000e+00	0.000000e+00	0.000000e+00	8.998214e-01	9.149925e-01	9.086723e-01	9.086723e-01	0.000000e+00	1.800000e+00	0.000000e+00	8.760885e-09	3.159230e-05	8.998214e-11	-8.850868e-09	-3.160115e-05	0.000000e+00	0.000000e+00	-3.160115e-05	0.000000e+00	0.000000e+00	0.000000e+00
4.432811510100326e-10	0.000000e+00	0.000000e+00	1.800000e+00	0.000000e+00	0.000000e+00	8.998216e-01	9.157912e-01	9.093854e-01	9.093854e-01	0.000000e+00	1.800000e+00	0.000000e+00	9.473860e-09	3.201914e-05	8.998216e-11	-9.563842e-09	-3.202870e-05	0.000000e+00	0.000000e+00	-3.202870e-05	0.000000e+00	0.000000e+00	0.000000e+00
4.667458896596852e-10	0.000000e+00	0.000000e+00	1.800000e+00	0.000000e+00	0.000000e+00	8.998218e-01	9.166270e-01	9.101414e-01	9.101414e-01	0.000000e+00	1.800000e+00	0.000000e+00	1.022962e-08	3.241732e-05	8.998218e-11	-1.031960e-08	-3.242764e-05	0.000000e+00	0.000000e+00	-3.242764e-05	0.000000e+00	0.000000e+00	0.000000e+00
4.909146466893106e-10	0.000000e+00	0.000000e+00	1.800000e+00	0.000000e+00	0.000000e+00	8.998221e-01	9.174878e-01	9.109293e-01	9.109293e-01	0.000000e+00	1.800000e+00	0.000000e+00	1.101725e-08	3.278129e-05	8.998221e-11	-1.110723e-08	-3.279240e-05	0.000000e+00	0.000000e+00	-3.279240e-05	0.000000e+00	0.000000e+00	0.000000e+00
5.162234494584734e-10	0.000000e+00	0.000000e+00	1.800000e+00	0.000000e+00	0.000000e+00	8.998224e-01	9.183892e-01	9.117633e-01	9.117633e-01	0.000000e+00	1.800000e+00	0.000000e+00	1.185088e-08	3.311799e-05	8.998224e-11	-1.194086e-08	-3.312993e-05	0.000000e+00	0.000000e+00	-3.312993e-05	0.000000e+00	0.000000e+00	0.000000e+00
5.424126241655115e-10	0.000000e+00	0.000000e+00	1.800000e+00	0.000000e+00	0.000000e+00	8.998227e-01	9.193220e-01	9.126346e-01	9.126346e-01	0.000000e+00	1.800000e+00	0.000000e+00	1.272190e-08	3.342417e-05	8.998227e-11	-1.281188e-08	-3.343698e-05	0.000000e+00	0.000000e+00	-3.343698e-05	0.000000e+00	0.000000e+00	0.000000e+00
5.698790857129998e-10	0.000000e+00	0.000000e+00	1.800000e+00	0.000000e+00	0.000000e+00	8.998231e-01	9.203002e-01	9.135565e-01	9.135565e-01	0.000000e+00	1.800000e+00	0.000000e+00	1.364344e-08	3.370485e-05	8.998231e-11	-1.373342e-08	-3.371858e-05	0.000000e+00	0.000000e+00	-3.371858e-05	0.000000e+00	0.000000e+00	0.000000e+00
5.984347886980441e-10	0.000000e+00	0.000000e+00	1.800000e+00	0.000000e+00	0.000000e+00	8.998235e-01	9.213172e-01	9.145226e-01	9.145226e-01	0.000000e+00	1.800000e+00	0.000000e+00	1.460912e-08	3.395836e-05	8.998235e-11	-1.469910e-08	-3.397306e-05	0.000000e+00	0.000000e+00	-3.397306e-05	0.000000e+00	0.000000e+00	0.000000e+00
6.284545256942371e-10	0.000000e+00	0.000000e+00	1.800000e+00	0.000000e+00	0.000000e+00	8.998239e-01	9.223862e-01	9.155455e-01	9.155455e-01	0.000000e+00	1.800000e+00	0.000000e+00	1.563154e-08	3.418839e-05	8.998239e-11	-1.572152e-08	-3.420411e-05	0.000000e+00	0.000000e+00	-3.420411e-05	0.000000e+00	0.000000e+00	0.000000e+00
6.598200212200877e-10	0.000000e+00	0.000000e+00	1.800000e+00	0.000000e+00	0.000000e+00	8.998244e-01	9.235032e-01	9.166210e-01	9.166210e-01	0.000000e+00	1.800000e+00	0.000000e+00	1.670660e-08	3.439432e-05	8.998245e-11	-1.679658e-08	-3.441112e-05	0.000000e+00	0.000000e+00	-3.441112e-05	0.000000e+00	0.000000e+00	0.000000e+00
6.929021232233579e-10	0.000000e+00	0.000000e+00	1.800000e+00	0.000000e+00	0.000000e+00	8.998250e-01	9.246812e-01	9.177619e-01	9.177619e-01	0.000000e+00	1.800000e+00	0.000000e+00	1.784692e-08	3.457898e-05	8.998250e-11	-1.793690e-08	-3.459692e-05	0.000000e+00	0.000000e+00	-3.459692e-05	0.000000e+00	0.000000e+00	0.000000e+00
7.276561051949668e-10	0.000000e+00	0.000000e+00	1.800000e+00	0.000000e+00	0.000000e+00	8.998256e-01	9.259188e-01	9.189665e-01	9.189665e-01	0.000000e+00	1.800000e+00	0.000000e+00	1.905088e-08	3.474244e-05	8.998256e-11	-1.914086e-08	-3.476158e-05	0.000000e+00	0.000000e+00	-3.476158e-05	0.000000e+00	0.000000e+00	0.000000e+00
7.644705849707438e-10	0.000000e+00	0.000000e+00	1.800000e+00	0.000000e+00	0.000000e+00	8.998263e-01	9.272296e-01	9.202482e-01	9.202482e-01	0.000000e+00	1.800000e+00	0.000000e+00	2.033184e-08	3.488690e-05	8.998264e-11	-2.042182e-08	-3.490733e-05	0.000000e+00	0.000000e+00	-3.490733e-05	0.000000e+00	0.000000e+00	0.000000e+00
8.033860328100782e-10	0.000000e+00	0.000000e+00	1.800000e+00	0.000000e+00	0.000000e+00	8.998272e-01	9.286152e-01	9.216083e-01	9.216083e-01	0.000000e+00	1.800000e+00	0.000000e+00	2.169111e-08	3.501291e-05	8.998272e-11	-2.178109e-08	-3.503469e-05	0.000000e+00	0.000000e+00	-3.503469e-05	0.000000e+00	0.000000e+00	0.000000e+00
8.448379182206603e-10	0.000000e+00	0.000000e+00	1.800000e+00	0.000000e+00	0.000000e+00	8.998281e-01	9.300910e-01	9.230619e-01	9.230619e-01	0.000000e+00	1.800000e+00	0.000000e+00	2.314380e-08	3.512227e-05	8.998281e-11	-2.323378e-08	-3.514551e-05	0.000000e+00	0.000000e+00	-3.514551e-05	0.000000e+00	0.000000e+00	0.000000e+00
8.889758698487172e-10	0.000000e+00	0.000000e+00	1.800000e+00	0.000000e+00	0.000000e+00	8.998291e-01	9.316623e-01	9.246142e-01	9.246142e-01	0.000000e+00	1.800000e+00	0.000000e+00	2.469504e-08	3.521578e-05	8.998292e-11	-2.478502e-08	-3.524057e-05	0.000000e+00	0.000000e+00	-3.524057e-05	0.000000e+00	0.000000e+00	0.000000e+00
9.363254994360043e-10	0.000000e+00	0.000000e+00	1.800000e+00	0.000000e+00	0.000000e+00	8.998304e-01	9.333478e-01	9.262835e-01	9.262835e-01	0.000000e+00	1.800000e+00	0.000000e+00	2.636316e-08	3.529498e-05	8.998304e-11	-2.645314e-08	-3.532143e-05	0.000000e+00	0.000000e+00	-3.532143e-05	0.000000e+00	0.000000e+00	0.000000e+00
9.871907107153111e-10	0.000000e+00	0.000000e+00	1.800000e+00	0.000000e+00	0.000000e+00	8.998318e-01	9.351583e-01	9.280804e-01	9.280804e-01	0.000000e+00	1.800000e+00	0.000000e+00	2.815873e-08	3.536081e-05	8.998318e-11	-2.824872e-08	-3.538906e-05	0.000000e+00	0.000000e+00	-3.538906e-05	0.000000e+00	0.000000e+00	0.000000e+00
1.042257887642859e-09	0.000000e+00	0.000000e+00	1.800000e+00	0.000000e+00	0.000000e+00	8.998334e-01	9.371181e-01	9.300292e-01	9.300292e-01	0.000000e+00	1.800000e+00	0.000000e+00	3.010583e-08	3.541461e-05	8.998334e-11	-3.019582e-08	-3.544480e-05	0.000000e+00	0.000000e+00	-3.544480e-05	0.000000e+00	0.000000e+00	0.000000e+00
1.102069519139347e-09	0.000000e+00	0.000000e+00	1.800000e+00	0.000000e+00	0.000000e+00	8.998352e-01	9.392466e-01	9.321486e-01	9.321486e-01	0.000000e+00	1.800000e+00	0.000000e+00	3.222345e-08	3.545737e-05	8.998352e-11	-3.231344e-08	-3.548968e-05	0.000000e+00	0.000000e+00	-3.548968e-05	0.000000e+00	0.000000e+00	0.000000e+00
